catalog_id,begin_utc,peak_utc,end_hhmm_reported,goes_class,satellite,noaa,source_file,source_line_number,raw_line
20240509_750,2024-05-09T03:07:00Z,2024-05-09T03:17:00Z,0323,M4.0,G16,13664.0,reports/phase2_historical_case/sources/20240509events.txt,43, 750 +     0307   0317      0323  G16  5   XRA  1-8A      M4.0    8.7E-03   3664
20240509_900,2024-05-09T03:23:00Z,2024-05-09T03:32:00Z,0345,M4.5,G16,13664.0,reports/phase2_historical_case/sources/20240509events.txt,46, 900       0323   0332      0345  G16  5   XRA  1-8A      M4.5    5.3E-02   3664
20240509_760,2024-05-09T04:44:00Z,2024-05-09T04:49:00Z,0455,M1.7,G16,13664.0,reports/phase2_historical_case/sources/20240509events.txt,56, 760 +     0444   0449      0455  G16  5   XRA  1-8A      M1.7    4.8E-03   3664
20240509_790,2024-05-09T06:03:00Z,2024-05-09T06:13:00Z,0624,M2.3,G16,13664.0,reports/phase2_historical_case/sources/20240509events.txt,66, 790 +     0603   0613      0624  G16  5   XRA  1-8A      M2.3    5.0E-03   3664
20240509_840,2024-05-09T08:45:00Z,2024-05-09T09:13:00Z,0936,X2.2,G16,13664.0,reports/phase2_historical_case/sources/20240509events.txt,85, 840 +     0845   0913      0936  G16  5   XRA  1-8A      X2.2    4.4E-01   3664
20240509_860,2024-05-09T11:52:00Z,2024-05-09T11:56:00Z,1202,M3.1,G16,13664.0,reports/phase2_historical_case/sources/20240509events.txt,106, 860 +     1152   1156      1202  G16  5   XRA  1-8A      M3.1    1.4E-02   3664
20240509_870,2024-05-09T12:05:00Z,2024-05-09T12:12:00Z,1220,M2.9,G16,13664.0,reports/phase2_historical_case/sources/20240509events.txt,109, 870 +     1205   1212      1220  G16  5   XRA  1-8A      M2.9    2.4E-02   3664
20240509_930,2024-05-09T13:16:00Z,2024-05-09T13:23:00Z,1329,M3.7,G16,13664.0,reports/phase2_historical_case/sources/20240509events.txt,113, 930 +     1316   1323      1329  G16  5   XRA  1-8A      M3.7    1.9E-02   3664
20240509_1020,2024-05-09T17:23:00Z,2024-05-09T17:44:00Z,1800,X1.1,G16,13664.0,reports/phase2_historical_case/sources/20240509events.txt,136,1020 +     1723   1744      1800  G16  5   XRA  1-8A      X1.1    1.6E-01   3664
20240509_1090,2024-05-09T21:15:00Z,2024-05-09T21:21:00Z,2125,M1.0,G16,13663.0,reports/phase2_historical_case/sources/20240509events.txt,157,1090       2115   2121      2125  G16  5   XRA  1-8A      M1.0    5.9E-03   3663
20240509_1110,2024-05-09T22:08:00Z,2024-05-09T22:15:00Z,2224,M1.0,G16,,reports/phase2_historical_case/sources/20240509events.txt,163,1110 +     2208   2215      2224  G16  5   XRA  1-8A      M1.0    2.2E-03       
20240509_1180,2024-05-09T22:24:00Z,2024-05-09T22:41:00Z,2247,M2.6,G16,,reports/phase2_historical_case/sources/20240509events.txt,167,1180       2224   2241      2247  G16  5   XRA  1-8A      M2.6    4.0E-03       
20240509_1120,2024-05-09T23:04:00Z,2024-05-09T23:08:00Z,2313,M1.2,G16,13664.0,reports/phase2_historical_case/sources/20240509events.txt,176,1120 +     2304   2308      2313  G16  5   XRA  1-8A      M1.2    3.0E-03   3664
